,p_0,p_1,p_2,p_3,p_4,p_5,p_6
289,0.025118977,0.038836543,0.01891041,0.0674463,0.030124186,0.028498333,0.05469059
290,0.03891405,0.056239083,0.024677023,0.0779497,0.03350505,0.030189538,0.05890459
291,0.016449958,0.03763749,0.012019315,0.066252925,0.018265883,0.02266775,0.03880326
292,0.018812668,0.034515433,0.013873901,0.06515085,0.020723306,0.023113422,0.0433348
293,0.018558584,0.041945666,0.013948599,0.07145693,0.020831505,0.024040801,0.042555276
294,0.016904395,0.037772536,0.011905309,0.061133344,0.019340424,0.021694256,0.039563607
295,0.0286021,0.04861828,0.01719537,0.06816621,0.026142212,0.024810417,0.04848596
296,0.02021814,0.037771586,0.016007036,0.069021486,0.024908988,0.026852662,0.047601145
297,0.026807291,0.046109293,0.017196538,0.06700274,0.029102175,0.026880069,0.051904004
298,0.016489916,0.035561703,0.012615227,0.06577175,0.01971482,0.02259513,0.040960457
299,0.01955535,0.039115973,0.013246858,0.059064474,0.024238419,0.022467457,0.045208286
300,0.18497911,0.17801662,0.062249277,0.16405357,0.058514,0.05189095,0.0892586
301,0.12362784,0.10552631,0.050693296,0.116315514,0.05535517,0.051803634,0.08212681
302,0.03604604,0.043281082,0.020637333,0.05820501,0.03052985,0.027256886,0.05325
303,0.0463565,0.08534106,0.01695776,0.09443049,0.026940573,0.02461232,0.048602402
304,0.018443078,0.036316942,0.012396773,0.062691025,0.017483352,0.021682033,0.03696341
305,0.040508617,0.05552165,0.017924637,0.0637593,0.034114916,0.028296703,0.05464266
306,0.24218315,0.29418397,0.0642337,0.24024732,0.08170979,0.05088318,0.11101069
307,0.11787617,0.13722864,0.04349308,0.14212786,0.059892274,0.05169405,0.083718486
308,0.073733225,0.06852794,0.030771405,0.07948881,0.043385573,0.038126726,0.06549596
309,0.2562322,0.3592876,0.056666344,0.2561586,0.0888818,0.046222907,0.119913176
310,0.07086699,0.08833121,0.024757868,0.086458914,0.044456236,0.037777618,0.06611462
311,0.03870818,0.056616686,0.018583076,0.076728195,0.02870782,0.026157878,0.050189864
312,0.048564237,0.09362927,0.015452609,0.0953453,0.022724152,0.020093065,0.045083225
