,index,p_0,p_1,p_2,p_3,p_4,p_5,p_6
266,2766,0.09183536,0.052770924,0.05721203,0.080407046,0.04832277,0.043790177,0.07859309
267,2767,0.28651184,0.32989767,0.06372267,0.25612307,0.065325506,0.040435195,0.09973712
268,2768,0.22692776,0.24312145,0.060361233,0.20447671,0.06753891,0.0505657,0.09830575
269,2769,0.12366907,0.09618285,0.04455584,0.10082386,0.043663077,0.044376474,0.06976633
270,2770,0.071603216,0.07080351,0.03210265,0.08726785,0.03653554,0.034586135,0.059781086
271,2771,0.09863572,0.08579446,0.039541505,0.09419595,0.042953562,0.03915203,0.06716516
272,2772,0.05658811,0.062299967,0.02613295,0.08320919,0.03515183,0.039711874,0.05922987
273,2773,0.19023816,0.19585973,0.059918128,0.18307891,0.061744917,0.04994422,0.08876327
274,2774,0.22722891,0.2385953,0.057793926,0.18287948,0.07384898,0.047859807,0.099326834
275,2775,0.31476516,0.4004363,0.0701685,0.29331073,0.07879424,0.043262687,0.116081074
276,2776,0.053110953,0.05716465,0.032193,0.08271216,0.042443547,0.04611503,0.06826462
277,2777,0.13255972,0.1616481,0.04092885,0.16089058,0.045104448,0.03893364,0.07261848
278,2778,0.16170181,0.19679491,0.04925008,0.19095509,0.05794199,0.04657903,0.08641288
279,2779,0.2183508,0.2793956,0.05794946,0.24474455,0.06414317,0.04423388,0.097294345
280,2780,0.114044055,0.13079807,0.038514867,0.1395543,0.046259798,0.03856748,0.0723383
281,2781,0.09797139,0.13175301,0.032811593,0.14740264,0.04172775,0.03652393,0.06797695
282,2782,0.07268841,0.10036005,0.028187176,0.12287648,0.04144287,0.036088392,0.06579067
283,2783,0.05859244,0.086160846,0.028034167,0.11734073,0.03783144,0.034354158,0.06166727
284,2784,0.06826574,0.06903175,0.033634268,0.09373584,0.046580434,0.038859688,0.07048332
285,2785,0.053562548,0.060456727,0.029682655,0.08553524,0.040308136,0.043502267,0.06655322
286,2786,0.039639838,0.044674125,0.025636451,0.06571524,0.035653327,0.035800945,0.059410132
287,2787,0.05663808,0.051512912,0.03590324,0.07926004,0.046764605,0.04469417,0.07350962
288,2788,0.045033615,0.062444244,0.03189741,0.10570557,0.059939995,0.044226777,0.08858911
289,2789,0.17145172,0.18003957,0.052909542,0.17219074,0.06631335,0.049645294,0.092563294
290,2790,0.052608505,0.06760125,0.02867361,0.083632626,0.036278587,0.036475085,0.06037484
291,2791,0.040842697,0.054042265,0.023517998,0.0690603,0.030790662,0.030057307,0.053090166
292,2792,0.13983989,0.18167694,0.03988858,0.16447039,0.04852,0.039682034,0.073966116
293,2793,0.090706475,0.12683474,0.031243155,0.13603674,0.03868762,0.033187542,0.064354196
